sentence,label
با این حال توصیه میکنم حتما برید.,1
در حدود امکانات هتل ۲ ستاره خیلی خوب.,0
به عبارت دیگر قبل از ترک هتل مطمئن شوید که صورتحساب خود را کنترل کرده‌اید.,1
من ۲۶ تا ۳۰ فروردین ۹۷ در هتل شایان اقامت داشتم.,0
بطور کلی نسبت به قیمت بالایی که داره، اقامت در این هتل را برای کسانی که به قصد گردش و تفریح سفر می‌کنند توصیه نمی‌کنم.,1
اگر ماشین داشته باشید پیشنهاد میکنم این هتل رو در غیر اینصورت با هزینه کرایه تاکسی هایی ک باید بپردازید برای رفت و امد به این هتل در انتها مبلغ تموم شده با یه هتل چهار و یا سه ستاره در مرکز جزیره برابری میکنه,1
نکته منفی هتل صبحانه آن است که اصلا تنوع ندارد و کیفیت آن بسیار پایین است.,0
بنده ۴ روز با خانواده در این هتل اقامت داشتیم.,0
اما واما: برخورد کلیه پرسنل بسیار عالیست.,0
در کل هتل بام سبز بخشی از مجموعه تفریحی بام سبز رامسره که شامل تله کابین و شهربازی و کلوپ دریایی و کلی چیزهای دیگه است.,0
سلام قبل از هرچیزی از کلیه پرسنل سامانه اسنپ تریپ که به صورت انلاین و در تمام طول روز برای راهنمایی و کمک به مسافرین دلسوزانه زحمت می‌کشند تشکر کنم.,0
برخورد کارکنان فوق العاده بود و همیشه پاسخگو بودن من به همه پیشنهاد میکنم این هتل رو برای اقامت در کیش انتخاب کنن,1
سیستم تهویه هتل جوابگو نبود و تو هوای گرم و شرجی اتاق بسیار گرم و مرطوب بود و بعد از عنوان موضوع با مسئول مربوطه تنها کاری که کردن یه پنکه گذاشتن داخل اتاق!!!!!!,0
نه هتل عالی بود فقط نگهبان نداشت پارکینگش جز اون همه‌ی امکانات عالی بود,0
نظافت اتاق‌ها مناسب نبود.,0
از این بگذریم هتل خوبیه واقعا.,0
اما گول عکاس و گردشگری رواصلا نخورین.,1
رفتار کارکنان هتل خوبه.,0
ولی تخت دو نفره‌اش خوب نبود انگار که ۲ تا تخت یکنفره رو به هم وصل کرده بودن.,0
بهترین نکته در مورد این هتل این بود در اتاقی که اقامت داشتم هم سرویس ایرانی داشت و هم فرنگی و مثل باقی هتل‌ها لازم نبود یک راهروی طولانی رو بری به علاوه اینکه مصالح ساختمانی خوبی و تمیزی استفاده شده بود.,0
اگرچه فاصله از مکان‌های دیدنی به نسبت دور بود ولی خارج از طرح ترافیک اصفهان بود و برای من خیلی عالی.,0
هتل نزدیک ساحل هست اگه به ساحل علاقه دارید ولی از مرکز شهر دوره,1
با سلام هتل خیلی خوبی است از ساری ۳۰ دقیقه فاصله داره.,0
لابی هتل کمی کار داره تا بهتر بشه,1
در کل خوب بود,0
همچنین یه کتری مسافرتی هم با خودتون ببرید چو اتاقها امکانات تهیه چای و قهوه را ندارند,1
بسیار هتل تمیز و مجللی بود.,0
اصلا خوب نیست.,0
پرسنل تمام قسمتها خوش برخورد و مسئولیت پذیر بودند.,0
یه مورد اینکه آسانسور نداره و اگه بیمار یا سالمند دارید تعدادی پله میخوره البته از پاگرد اول تا دوم یه صندلی برقی بالارونده داره ولی تا پاگرد اول چندتا پله داره,1
شام کیفیت خوبی داشت ضمن اینکه میتونید از سوپ و سالاد منو باز اونجا لذت ببرید -- نقاط ضعف -- حمام کوچک: حمام هتل بسیار کوچک ساخته شده.,0
امکانات ‌و محیط هتل واقعا خوب است ولی به شرط برقراری تله‌کابین چون بدون تله کابین تردد سخت است ضمنا قیمت غذاهای رستوران هتل بالاست,0
از اینکه این سفر رو در اونجا اقامت داشتم پشیمون نیستیم ولی برای بار دوم هرگز انتخابش نمیکنیم و به دیگران هم توصیه نمیکنیم,1
بعدم که غذا آوردن زنگ میزنیم میگیم قاشق چنگال نداره میگه داره!,0
در کنار اینها صدا به طرز عجیبی از بیرون و اتاقهای بغل داخل اتاق شنیده بود.,0
با یه کم پیاده روی به میدان اصلی شهر می‌رسید,1
هتل خوبی بود و من راضی بودم …نمیشه رفت هتل ٣ ستاره و توقع سرویس هتل ٥ ستاره رو داشت …من توصیه می‌کنم هتل رو,1
هتلی که می‌خواهد جمعیت جوان مد روز را به خود جلب کند، مطمئنا باید فکر کند که یک آینه تمام قد در همه اتاق‌های خواب ضروری است.,1
اگر می‌خواهید تمام کارهای توریستی اطراف خیابان فردوسی را انجام دهید، این هتل موقعیت مکانی بسیار خوبی دارد.,1
تردیدی ندارم که این هتل رو به همه توصیه کنم,1
این هتل رو پیشنهاد نمی‌کنم، ارزش هزینه کردن ندارد,1
البته فضای بین کلبه‌ها سرویس بهداشتی ایرانی هستش..,0
در کل اگر از این شهر بزرگ و عالی دیدن می‌کنید، این مکان را به عنوان مکانی برای اقامت توصیه می‌کنم.,1
