sentence,label
امیدوارم چیزی از قلم نیفتاده باشه ;) محیط متفاوت و بینظیریه که به یکبار تجربش قطعا می‌ارزه,0
بخوایم حساب کنیم هتل متوسطه ولی امکانات خوبی نداره مثلا کولر همه طبقه‌ها اگه یکی نباشه خیلی خوب میشه,0
امکانات هتل هم در سطح پایینی قرار داشت.,0
اونجا فقط میتونید نقاشی‌های زیبا و اثرهنری رو ببینید.,0
هتل زیبایی هست من اقامت خوبی داشتم.,0
ما در هفته‌ی آخر شهریور ۱۳۹۷ در طبقه ۵ این هتل اقامت داشتیم.,0
سیگار کشیدن در این هتل ممنوع هست در همه جای هتل اگر سیگار میکشید اصلا خوب نیست اگه از سیگار استفاده کنید ۲۰۰ هزار تومان جریمه میشید.,0
فقط یه مساله خیییییییییلی مهم که قبل از رفتنتون حتما با پذیرش در مورد رزروتون هماهنگ کنید تا به مشکلی برنخورین.,1
صبحانه معمولیه، نه خیلی ساده و نه خیلی مفصل.,0
موقعیت عالی هتل منحصربفرد است,0
صبحانه تا ساعت ۸:۵ حاضر نشد سرویس کافی شاپ ضعیف حمام ضعیف به لحاظ.,0
استخر بسیار عالی با هزینه جداگانه داردو رستوران هتل غذای عالی دارد از همه مهمتر زیبایی و آرامش محیط این هتل میباشد.,0
منو همسرم دهم اردیبهشت رو داخل کلبه بودیم..,0
در اتاق همه چیز مناسب هست، حتی ظرف و سوزن و نخ و آب جوش و چای و ….,0
معایب: دوری از حرم البته سه نوبت سرویس رفت و برگشت به حرم داشت.,0
این آخرین سفرم به شایان است.,0
روی ملحفه‌ها مو بود.,0
از قدیم گفتن هرچقدر پول بدی همونقدر آش میخوری …..,0
کارکنان بسیار باما همکاری کردن و با توجه به اینکه زمان تحویل اتاق ساعت ۲ بود ساعت ۱۲ اتاق رو تحویل دادن که برای ما که بچه کوچیک داشتیم بسیار ارزشمند بود رفتارشون.,0
کسایی که به دنبال جایی برای آرامش هستند توصیه میکنم.,1
البته اگر در حد یه متل بین راهی بخواهید روش حساب کنید در مقابل پولی که می‌پردازید ارزش داره فقط برای شب مانی در یه محل نسبتا تمیز البته ما در بهمن ماه ۹۷ یک شب در این هتل اقامت داشتیم,0
هتل خوب با برخورد صمیمانه پرسنل، مکان هتل جاییه که به راحتی و‌پیاده میتونید به نقاط تاریخی دسترسی داشته باشید.,1
هتل عالیی بود اما گفته بودن که ترنسفر به مرکز شهر زیاد داره اما اینطوری نبودو ما پروازمون ساعت ۲۲ بود اما زودتر باید هتلو تحویل میدادیم و قبول نکردن که خودشون مارو به مرکز شهر ببرن اگر خود هتل چیزی شبیه مرکز خرید داشته باشه خیلی خوب میشه,1
یک شب در این هتل اقامت داشتیم که متاسفانه اصلا در حد یک هتل ۴ ستاره نیست.,0
بهترین نکته در مورد این هتل این بود در اتاقی که اقامت داشتم هم سرویس ایرانی داشت و هم فرنگی و مثل باقی هتل‌ها لازم نبود یک راهروی طولانی رو بری به علاوه اینکه مصالح ساختمانی خوبی و تمیزی استفاده شده بود.,0
