sentence,label
سرویس بهداشتی هم باید بهتر شود.,1
اگر اتاق‌های سمت خیابان رو میگیرین باید بدونین خیابان تقریبا پر رفت و آمده.,1
تنوع صبحانه بسیار کم بود و انتظار میرود که در روزهای مختلف اقامت در هتل حداقل چند نوع مختلف و متنوع صبحانه سرو گردد.,1
نسبت به هزینه عالی بود..,0
برخورد کارکنان خوب بود امکانات داخل واحد ویلای ناقص بود پکیچ خراب بود حمام نداشتیم و تلویزیون نداشت,0
هتل حدود ۲ کیلومتر با دریا فاصل داشت اما ساحل دریا در آن منطقه بسیار صاف و دلنشین بود فقط ذکر چند نکته شاید بتواند به خدمت رسانی بهتر کمک کند: ۱- با توجه به اینکه روز رزرو اتاق مشخص است و پول آن نیز از قبل پرداخت شده است بهتر است حداقل ۲ ساعت زودتر از تحویل اتاق کولر آن روشن شده باشد.,1
محیط بسیار زیبا همراه با امکانات سرگرم کننده که البته پیشنهاد میکنم کمی وسایل ورزشی مناسب هم لحاظ شود.,1
معلوم نیست از چی درست میشه، ماهی تیلاپیلاش که کبوده و واضحه.، پیتزا به اسم مخصوص میدن ولی به مربع که روش فقط سوسیسه، فیله و شینسل میدن اصلا نمیدونی چیه!!,0
علت طولانی شدن نظر به این خاطر هست که به مسافرا بتونم کمک کنم راحت انتخاب کنند.,1
به نظرم اگر سفرتون خانوادگی نیست این هتل بسیار مناسب هست.,1
*با توجه به مشخصات هتل، تنها در صورت تخفیف داشتن، این هتل پیشنهاد می‌شود (در حالت عادی ارزش خرید/قیمت هتل بالا است).,1
ندارد هم دوره هم دسترسی به اماکن دیگه سخته,0
پرسنل خوبی داره هتل، پیشنهاد میشه به جای چند نوع غذا یک جور ولی با کیفیت ارائه بشه,1
با تشکر از ایران هتل بابت زحمات و خدمات عالی که ارائه میکنید.,0
خوشبختانه اینجانب تنها یک شب در این هتل بودم هتلی بسیار قدیمی و کهنه، اصول بهداشتی در ان رعایت نمیشود متاسفانه دارای کارکنانی با رفتار بسیار نامناسب و بی تربیت دارای سیستم تهویه مطبوع با راندمان پایین اتاقها بسیار گرم به هیچ عنوان پیشنهاد نمیکنم,1
و این هتل رو برای سفر دوستانه به جزیره پیشنهاد میکنم.,1
در کل اقامت در این هتل رو به دوستان پیشنهاد میکنم عدم سرویس دهی رستوران در وعده‌های ناهار و شام و عدم وجود صندلی یا مبل در اطاقها,1
با رفتن به الماس ٢ پشیمون نمیشی روف گاردن هم حتما سر بزن,1
اگر فرشهای هتل عوض شود خیلی عالی میشود.,1
حتما دوباره به این هتل میام.,0
تمیز بود و محوطه هتل خیلی دلنشین بود، خصوصا در بهار که بوی بهارنارنج همه جا پیچیده بود.,0
"هتل در مکانی مناسب قرار دارد , ساختمان و اتاقها مناسب و خیلی خوب هستند ولی میتوان زیباسازی بهتری انجام شود.",1
پرسنل بسیار خوش برخورد و مهمان نواز، غذا خیلی با کیفیت بود، اتاق‌های دلباز و شیک.,0
رستوران هم خوب است به روز نمودن حمام و شیر الات میبایستی انجام شود,1
شاید خوش‌شانسی من از بابت خلوت‌بودن محیط هم در مضاعف‌شدن این لذت بی‌تاثیر نبوده:) پیشنهاد می‌کنم حتما طلوع آفتاب و آغاز روز رو داخل حیاط کاشکیلو بگذرونید؛ به تماشای درخت‌ها و گل‌ها و گوش‌دادن به صدای پرندگان.,1
اگر منوی رستوران را بیشتر شود بهتر است.,1
حتی یادم گفتم مراقب شناسنامه هامون باشید گم نشن با لبخند گفتم ایشون با اخم گفت من نمیتونم جلوی اتفاقات رو بگیرم.,1
صبحانه نسبت به ۲ستاره بودن هتل قابل قبول بود..,0
کیفیت اتاق خوب - رستوران خوب - برخورد کارکنان خوب,0
برخورد بسیار کمی با کارکنان داشتم ولی در همون برخورد کم، خوب بودن بجای شامپو، صابون مایع تو حمام گذاشته بودن، حمامش زیاد جالب نبود، سرویس بهداشتی درست زیر دوش حمام هستش اگه پات لیز بخوره ممکنه واست دردسر بشه,1
صبحانه هم خیلی معمولی و هر روز تکراری بود.,0
