classifier,features,n_gram_range,stop_words,stemming,best_score,accuracy,precision,recall,best_params,f1
rf,tfidf,"(1, 1)",custom,TRUE,93.16,93.252,94.572,91.834,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 600}",93.162
rf,tfidf,"(1, 2)",custom,TRUE,93.1,93.208,94.604,91.666,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'n_estimators': 500}",93.1
rf,count,"(1, 2)",custom,TRUE,93.04,93.208,95.6,90.666,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 200}",93.038
rf,count,"(1, 1)",custom,TRUE,92.95,93.042,94.304,91.666,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 600}",92.944
rf,count,"(1, 3)",custom,TRUE,92.91,92.958,93.608,92.25,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'n_estimators': 600}",92.906
rf,tfidf,"(1, 4)",custom,TRUE,92.9,93.042,94.934,91,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'n_estimators': 200}",92.898
rf,count,"(1, 4)",custom,TRUE,92.85,92.918,93.826,91.918,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'n_estimators': 200}",92.844
rf,tfidf,"(1, 3)",custom,TRUE,92.67,92.834,94.994,90.498,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'n_estimators': 300}",92.67
SVM,count,"(1, 3)",custom,TRUE,92.59,92.708,93.998,91.252,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",92.592
SVM,count,"(1, 4)",custom,TRUE,92.55,92.666,93.92,91.252,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",92.554
SVM,count,"(1, 2)",custom,TRUE,92.37,92.498,93.894,90.916,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",92.372
SVM,count,"(1, 1)",custom,TRUE,92.17,92.374,94.586,89.918,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",92.172
SVM,tfidf,"(1, 2)",custom,TRUE,91.92,92.166,95.134,89.002,"{'C': 400, 'gamma': 0.001, 'kernel': 'rbf'}",91.92
SVM,tfidf,"(1, 4)",custom,TRUE,91.92,92.166,95.198,88.916,"{'C': 400, 'gamma': 0.001, 'kernel': 'rbf'}",91.914
SVM,tfidf,"(1, 3)",custom,TRUE,91.89,92.126,94.882,89.17,"{'C': 1, 'gamma': 'scale', 'kernel': 'sigmoid'}",91.894
SVM,tfidf,"(1, 1)",custom,TRUE,91.8,92.04,94.854,89.002,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",91.798
rf,tfidf,"(2, 3)",custom,TRUE,81.87,83.5,90.808,74.584,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 500}",81.874
SVM,tfidf,"(2, 3)",custom,TRUE,81.85,83.458,90.754,74.584,"{'C': 5, 'gamma': 0.1, 'kernel': 'rbf'}",81.852
rf,count,"(2, 3)",custom,TRUE,81.54,83.084,89.78,74.75,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 600}",81.534
SVM,count,"(2, 3)",custom,TRUE,80.1,82.042,89.796,72.334,"{'C': 50, 'gamma': 0.01, 'kernel': 'rbf'}",80.096
